title,price,price_per_sqm,price_per_bedroom,location,estate_name,property_type,bedrooms,bathrooms,toilets,bq,land_size,title_tag,description,promo_tags,initial_deposit,payment_plan,service_charge,launch_timeline,agent_name,contact_info,images,listing_url,source,scrape_timestamp,coordinates,hash
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,,,,Lekki,,,,,,0,,,"Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago",5 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",c3ac59056f95b247e4644cdab2eee1cccf7f980831d3f2c6e6c3331d607f9872
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,,,,Lekki,,,,,,0,,,"Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago",5 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",c3ac59056f95b247e4644cdab2eee1cccf7f980831d3f2c6e6c3331d607f9872
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,,,,Lekki,,,,,,0,,,"Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago",5 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",c3ac59056f95b247e4644cdab2eee1cccf7f980831d3f2c6e6c3331d607f9872
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,,,,Lekki,,,,,,0,,,"Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago",5 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",c3ac59056f95b247e4644cdab2eee1cccf7f980831d3f2c6e6c3331d607f9872
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
For Sale,,,,Lekki,,,,,,0,,,"Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago",5 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",c3ac59056f95b247e4644cdab2eee1cccf7f980831d3f2c6e6c3331d607f9872
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
Estates,,,,Lagos,,,,,,0,,,Estates Lagos Abuja Ogun Oyo Osun Ekiti Jos Niger Nasarawa,,,,,,,,,https://adronhomesproperties.com/property/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",47f7e0c4a67bb58d41f20dc7191741002934c10e7659b1bbeac774d54ea17edd
Lagos,,,,Lagos,,,,,,0,,,Lagos,,,,,,,,,https://adronhomesproperties.com/state/lagos/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4550575,3.3941795",15e183eea7260b19772a1d0a4797cedf3d07c997de275e4208c2cf1f551da9d6
For Sale,20000000,,,Lekki,,,,,,0,,,"Featured For Sale Hot Offer ₦20,000,000 For Sale Hot Offer Treasure Park and Gardens Phase 3 (Cape Town) ₦20,000,000 Shimawa Ogun State, Nigeria. 600 Sq Meter Land Details Adron Homes 9 years ago Adron Homes 9 years ago Featured Sold ₦20,000,000 Sold Treasure Park & Gardens phase 1 ₦20,000,000 Shimawa,Ogun State.Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Hot Offer SOLD OUT For Sale Hot Offer Glass House Estate SOLD OUT Shimawa, Ogun State. Nigeria Land Details Adron Homes 5 years ago Adron Homes 5 years ago Featured For Sale Sold Out For Sale Rehoboth Park Gardens phase 1 Sold Out Ibeju, Ibeju Lekki, Nigeria 500 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale Hot Offer Sold Out For Sale Hot Offer Treasure Park & Gardens Phase 2 Extension (Downtown Parks and Garden) Sold Out Shimawa, Ogun state. Nigeria 648 Sq Meter Land Details Adron Homes 5 years ago Adron Homes 5 years ago For Sale ₦30,000,000 For Sale Treasur",9 years,,,,,,,,https://adronhomesproperties.com/status/for-sale/,adronhomesproperties.com,2025-08-21 14:54:57,"6.4711251,3.8147504",733382f59febf097b363a71da73bb4b3e6a4704dab2f9f38aaabd1cfa161a176
